"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.220576160E-1,-8.269500136E-1,4.989000320E0,7.957950592E0,9.428835991E0
2.245516150E-1,-8.460000157E-1,4.989000320E0,7.996050358E0,9.462698428E0
2.270456160E-1,-8.269500136E-1,4.951050282E0,7.996050358E0,9.441057491E0
2.295392940E-1,-8.460000157E-1,4.951050282E0,8.035050392E0,9.475792828E0
2.320329870E-1,-8.269500136E-1,4.912950039E0,8.035050392E0,9.454256143E0
2.345252560E-1,-8.460000157E-1,4.912950039E0,8.072999954E0,9.488209651E0
2.370175250E-1,-8.080500364E-1,4.873950005E0,8.053950310E0,9.448515709E0
2.395101410E-1,-7.890000343E-1,4.873950005E0,8.072999954E0,9.463151587E0
2.420027560E-1,-7.500000596E-1,4.836000443E0,8.053950310E0,9.424198425E0
2.444955250E-1,-7.500000596E-1,4.836000443E0,8.072999954E0,9.440483496E0
2.469882940E-1,-7.120500207E-1,4.816950321E0,8.053950310E0,9.411489851E0
2.494795630E-1,-7.309500575E-1,4.836000443E0,8.072999954E0,9.438989169E0
2.519708340E-1,-7.120500207E-1,4.816950321E0,8.053950310E0,9.411489851E0
2.544638730E-1,-7.309500575E-1,4.836000443E0,8.072999954E0,9.438989169E0
2.569569100E-1,-7.120500207E-1,4.816950321E0,8.053950310E0,9.411489851E0
2.594483320E-1,-7.120500207E-1,4.836000443E0,8.072999954E0,9.437544372E0
2.619397570E-1,-6.930000186E-1,4.816950321E0,8.053950310E0,9.410067748E0
2.644332580E-1,-6.930000186E-1,4.836000443E0,8.072999954E0,9.436126195E0
2.669267570E-1,-6.739500165E-1,4.816950321E0,8.053950310E0,9.408684000E0
2.694178700E-1,-6.739500165E-1,4.836000443E0,8.072999954E0,9.434746269E0
2.719089870E-1,-6.349500418E-1,4.816950321E0,8.053950310E0,9.405970845E0
2.744018970E-1,-6.349500418E-1,4.816950321E0,8.072999954E0,9.422287419E0
2.768948200E-1,-5.970000029E-1,4.779000282E0,8.053950310E0,9.384101891E0
2.793877420E-1,-6.160500050E-1,4.779000282E0,8.072999954E0,9.401685464E0
2.818806650E-1,-5.779500008E-1,4.740000248E0,8.053950310E0,9.363105476E0
2.843745110E-1,-5.590500236E-1,4.740000248E0,8.072999954E0,9.378351003E0
2.868683580E-1,-5.209500194E-1,4.702050209E0,8.053950310E0,9.340598518E0
2.893621980E-1,-5.010000467E-1,4.702050209E0,8.072999954E0,9.355939583E0
